bigg_id,name,reaction_string,ec_numbers
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),accoa_c + occoa_c <-> 3odcoa_c + coa_c,2.3.1.16; 2.3.1.9
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),accoa_c + dcacoa_c <-> 3oddcoa_c + coa_c,2.3.1.9
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,adocbip_c + gtp_c + h_c <-> agdpcbi_c + ppi_c,2.7.7.62
ACCOAL,Acetate-CoA ligase (ADP-forming),atp_c + coa_c + ppa_c <-> adp_c + pi_c + ppcoa_c,6.2.1.13
ACGAM1PPpp,N-acetyl-D-glucosamine 1-phosphatase (periplasm),acgam1p_p + h2o_p <-> acgam_p + pi_p,3.1.3.10
ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c <-> acglu_c + coa_c + h_c,2.3.1.1
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c <-> alac__S_c + co2_c,2.2.1.6
ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,uacmamu_c + unaga_c <-> h_c + udp_c + unagamu_c,2.4.1.180
ACNML,N-Acetylneuraminate lyase,acnam_c <-> acmana_c + pyr_c,4.1.3.3
ACOAD1f,Acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c <-> b2coa_c + fadh2_c,1.3.3.6; 1.3.8.1; 1.3.8.7; 1.3.99.-; 1.3.99.3
ACOAD5f,Acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + fad_c <-> dd2coa_c + fadh2_c,1.3.3.6; 1.3.8.7; 1.3.8.8; 1.3.99.-; 1.3.99.3
ACOAD7f,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),fad_c + pmtcoa_c <-> fadh2_c + hdd2coa_c,1.3.3.6; 1.3.8.7; 1.3.8.8; 1.3.8.9; 1.3.99.-; 1.3.99.3
ACOATA,Acetyl-CoA ACP transacylase,ACP_c + accoa_c <-> acACP_c + coa_c,2.3.1.-; 2.3.1.179; 2.3.1.180; 2.3.1.38; 2.3.1.41; 2.3.1.85; 2.3.1.86
ACODA,Acetylornithine deacetylase,acorn_c + h2o_c <-> ac_c + orn_c,3.5.1.14; 3.5.1.16
ACONIs,Aconitate isomerase (spontaneous),acon_T_c <-> acon_C_c,5.3.3.7
ACONMT,Trans-aconitate methyltransferase,acon_T_c + amet_c <-> aconm_c + ahcys_c,2.1.1.144
ACOTA,Acetylornithine transaminase,acorn_c + akg_c <-> acg5sa_c + glu__L_c,2.6.1.11
ADCL,4-aminobenzoate synthase,4adcho_c <-> 4abz_c + h_c + pyr_c,4.1.3.38
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c <-> 4adcho_c + glu__L_c,2.6.1.85
ADD,Adenine deaminase,ade_c + h_c + h2o_c <-> hxan_c + nh4_c,3.5.4.2
ADK3,Adentylate kinase (GTP),amp_c + gtp_c <-> adp_c + gdp_c,2.7.4.10; 2.7.4.4
ADNCYC,Adenylate cyclase,atp_c <-> camp_c + ppi_c,4.6.1.1
ADNK1,Adenosine kinase,adn_c + atp_c <-> adp_c + amp_c + h_c,2.7.1.20; 2.7.1.74
ADNUC,Adenosine hydrolase,adn_c + h2o_c <-> ade_c + rib__D_c,3.2.2.1; 3.2.2.7; 3.2.2.8
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,agdpcbi_c + rdmbzi_c <-> adocbl_c + gmp_c + h_c,2.7.8.26
ADPT,Adenine phosphoribosyltransferase,ade_c + prpp_c <-> amp_c + ppi_c,2.4.2.7; 2.4.2.8
ADSK,Adenylyl-sulfate kinase,aps_c + atp_c <-> adp_c + h_c + paps_c,2.7.1.25
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c <-> dcamp_c + gdp_c + 2.0 h_c + pi_c,6.3.4.4
AGMT,Agmatinase,agm_c + h2o_c <-> ptrc_c + urea_c,3.5.3.11
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),1hdec9eg3p_c + hdeACP_c <-> ACP_c + pa161_c,2.3.1.51
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),1odecg3p_c + ocdcaACP_c <-> ACP_c + pa180_c,2.3.1.51
AIRC2,Phosphoribosylaminoimidazole carboxylase,air_c + atp_c + hco3_c <-> 5caiz_c + adp_c + h_c + pi_c,6.3.4.18
ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <-> adp_c + alaala_c + h_c + pi_c,6.3.2.4
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <-> glu__L_c + pyr_c,2.6.1.2
ALATRS,Alanyl-tRNA synthetase,ala__L_c + atp_c + trnaala_c <-> alatrna_c + amp_c + ppi_c,6.1.1.7
ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <-> acald_c + h_c + nadh_c,1.1.1.1; 1.1.1.71
ALLK,Allose kinase,all__D_c + atp_c <-> adp_c + all6p_c + h_c,2.7.1.55
ALLTAMH,Allantoate amidohydrolase,alltt_c + 2.0 h_c + 2.0 h2o_c <-> co2_c + 2.0 nh4_c + urdglyc_c,3.5.3.9
ALTRH,Altronate hydrolase,altrn_c <-> 2ddglcn_c + h2o_c,4.2.1.7
AMALT3,Amylomaltase (maltopentaose),malt_c + maltpt_c <-> glc__D_c + malthx_c,2.4.1.25
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,acmanap_c <-> acgam6p_c,5.1.3.9
AMANK,N-acetyl-D-mannosamine kinase,acmana_c + atp_c <-> acmanap_c + adp_c + h_c,2.7.1.60
AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <-> amob_c + dann_c,2.6.1.62
AMPN,AMP nucleosidase,amp_c + h2o_c <-> ade_c + r5p_c,3.2.2.4
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c <-> ppi_c + pran_c,2.4.2.18
AP4AS,Ap4A synthetase,2.0 atp_c + h_c <-> ap4a_c + ppi_c,2.7.7
AP5AH,Ap5A hydrolase,ap5a_c + h2o_c <-> adp_c + atp_c + 2.0 h_c,3.6.1.61
ARAI,L-arabinose isomerase,arab__L_c <-> rbl__L_c,5.3.1.4; 5.3.1.5
ARBabcpp,L-arabinose transport via ABC system (periplasm),atp_c + h2o_c + arab__L_p <-> adp_c + arab__L_c + h_c + pi_c,3.6.3.17
ARGDC,Arginine decarboxylase,arg__L_c + h_c <-> agm_c + co2_c,4.1.1.19
ARGDCpp,Arginine decarboxylase,arg__L_p + h_p <-> agm_p + co2_p,4.1.1.19
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <-> amp_c + argsuc_c + h_c + ppi_c,6.3.4.5
ARGTRS,Arginyl-tRNA synthetase,arg__L_c + atp_c + trnaarg_c <-> amp_c + argtrna_c + ppi_c,6.1.1.19
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <-> 4pasp_c + h_c + nadph_c,1.2.1.11
ASCBPL,L-ascorbate 6-phosphate lactonase,ascb6p_c + h2o_c <-> 3dhgulnp_c + h_c,3.1.1; 3.1.1.-
ASNN,L-asparaginase,asn__L_c + h2o_c <-> asp__L_c + nh4_c,3.5.1.1; 3.5.1.38; 3.5.5.4
ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c <-> amp_c + asn__L_c + h_c + ppi_c,6.3.1.1; 6.3.5.4
ASPT,L-aspartase,asp__L_c <-> fum_c + nh4_c,4.3.1.1
ASPTA,Aspartate transaminase,akg_c + asp__L_c <-> glu__L_c + oaa_c,2.6.1.1
ASPTRS,Aspartyl-tRNA synthetase,asp__L_c + atp_c + trnaasp_c <-> amp_c + asptrna_c + ppi_c,6.1.1.12; 6.1.1.23
ASPabcpp,L-aspartate transport via ABC system (periplasm),atp_c + h2o_c + asp__L_p <-> adp_c + asp__L_c + h_c + pi_c,3.6.3.21
AST,Arginine succinyltransferase,arg__L_c + succoa_c <-> coa_c + h_c + sucarg_c,2.3.1.109
ATHRDHr,L-allo-threonine dehydrogenase,athr__L_c + nadp_c <-> 2aobut_c + h_c + nadph_c,1.1.1.381
ATPHs,ATP amine hydrolysis (spontaneous),atp_c + h_c + h2o_c <-> itp_c + nh4_c,3.5.4.17; 3.5.4.18
ATPM,ATP maintenance requirement,atp_c + h2o_c <-> adp_c + h_c + pi_c,3.6.1.15; 3.6.1.3; 3.6.1.5; 3.6.1.8; 3.6.3.1; 3.6.3.10; 3.6.3.11; 3.6.3.12; 3.6.3.14; 3.6.3.15; 3.6.3.16; 3.6.3.17; 3.6.3.18; 3.6.3.19; 3.6.3.2; 3.6.3.20; 3.6.3.21; 3.6.3.22; 3.6.3.23; 3.6.3.24; 3.6.3.25; 3.6.3.26; 3.6.3.27; 3.6.3.28; 3.6.3.29; 3.6.3.3; 3.6.3.30; 3.6.3.31; 3.6.3.32; 3.6.3.33; 3.6.3.34; 3.6.3.35; 3.6.3.36; 3.6.3.37; 3.6.3.38; 3.6.3.39; 3.6.3.4; 3.6.3.40; 3.6.3.41; 3.6.3.42; 3.6.3.43; 3.6.3.44; 3.6.3.46; 3.6.3.47; 3.6.3.48; 3.6.3.49; 3.6.3.5; 3.6.3.50; 3.6.3.51; 3.6.3.52; 3.6.3.53; 3.6.3.54; 3.6.3.6; 3.6.3.7; 3.6.3.8; 3.6.3.9; 3.6.4.1; 3.6.4.10; 3.6.4.11; 3.6.4.12; 3.6.4.13; 3.6.4.2; 3.6.4.3; 3.6.4.4; 3.6.4.5; 3.6.4.6; 3.6.4.7; 3.6.4.8; 3.6.4.9
ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),adp_c + pi_c + 4.0 h_p <-> atp_c + 3.0 h_c + h2o_c,3.6.3.14
BETALDHx,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c <-> glyb_c + 2.0 h_c + nadh_c,1.2.1.8
BUTCT,Acetyl-CoA:butyrate-CoA transferase,accoa_c + but_c <-> ac_c + btcoa_c,2.8.3.8
CA2tex,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),ca2_e <-> ca2_p,3.6.3.8
CBIuabcpp,"Cobinamide transport via ABC system (uptake, periplasm)",atp_c + h2o_c + cbi_p <-> adp_c + cbi_c + h_c + pi_c,3.6.3.33
CBL1abcpp,Cob(1)alamin transport via ABC system (periplasm),atp_c + h2o_c + cbl1_p <-> adp_c + cbl1_c + h_c + pi_c,3.6.3.33
CBMKr,Carbamate kinase,atp_c + co2_c + nh4_c <-> adp_c + cbp_c + 2.0 h_c,2.7.2.2
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c <-> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,6.3.5.5
CCGS,7-cyano-7-carbaguanine synthase,atp_c + cdg_c + nh4_c <-> adp_c + h_c + h2o_c + pi_c + preq0_c,6.3.4.20
CD2abcpp,Cadmium (Cd+2) ABC transporter (periplasm),atp_c + cd2_c + h2o_c <-> adp_c + h_c + pi_c + cd2_p,3.6.3.3; 3.6.3.46
CDAPPA140,CDP-Diacylglycerol pyrophostatase (n-C14:0),cdpdtdecg_c + h2o_c <-> cmp_c + 2.0 h_c + pa140_c,3.6.1.26
CDAPPA141,CDP-Diacylglycerol pyrophostatase (n-C14:1),cdpdtdec7eg_c + h2o_c <-> cmp_c + 2.0 h_c + pa141_c,3.6.1.26
CDAPPA180,CDP-Diacylglycerol pyrophostatase (n-C18:0),cdpdodecg_c + h2o_c <-> cmp_c + 2.0 h_c + pa180_c,3.6.1.26
CDGR,7-cyano-7-deazaguanine reductase,3.0 h_c + 2.0 nadph_c + preq0_c <-> 2.0 nadp_c + preq1_c,1.7.1.13
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c <-> 2p4c2me_c + adp_c + h_c,2.7.1.148
CFAS160E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)",2.0 amet_c + pe161_c <-> 2.0 ahcys_c + cpe160_c + 2.0 h_c,2.1.1.79
CFAS180E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",2.0 amet_c + pe181_c <-> 2.0 ahcys_c + cpe180_c + 2.0 h_c,2.1.1.79
CHORM,Chorismate mutase,chor_c <-> pphn_c,5.4.99.5
CHRPL,Chorismate pyruvate lyase,chor_c <-> 4hbz_c + pyr_c,4.1.3.40
CINNDO,Cinnamate dioxygenase,cinnm_c + h_c + nadh_c + o2_c <-> cenchddd_c + nad_c,1.14.12.19
CITL,Citrate lyase,cit_c <-> ac_c + oaa_c,4.1.3.6
CMPN,CMP nucleosidase,cmp_c + h2o_c <-> csn_c + r5p_c,3.2.2.10
CPMPS,Cyclic pyranopterin monophosphate synthase,gtp_c + h2o_c <-> cpmp_c + ppi_c,4.1.99.18
CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c + crn_c <-> crncoa_c + gbbtn_c,2.8.3.21
CS,Citrate synthase,accoa_c + h2o_c + oaa_c <-> cit_c + coa_c + h_c,2.3.3.1; 2.3.3.16; 2.3.3.3
CSND,Cytosine deaminase,csn_c + h_c + h2o_c <-> nh4_c + ura_c,3.5.4.1
CTECOAI6,3-cis-2-trans-enoyl-CoA isomerase,tdecoa_c <-> td2coa_c,5.3.3.8
CTECOAI7,3-cis-2-trans-enoyl-CoA isomerase,hdcoa_c <-> hdd2coa_c,5.3.3.8
CTECOAI8,3-cis-2-trans-enoyl-CoA isomerase,odecoa_c <-> od2coa_c,5.3.3.8
CU1Opp,Cuprous Oxidase (Cu+1),4.0 cu_p + 4.0 h_p + o2_p <-> 4.0 cu2_p + 2.0 h2o_p,1.16.3
CYANST,Cyanide sulfurtransferase,cyan_c + tsul_c <-> h_c + so3_c + tcynt_c,2.8.1.1
CYNTAH,Cyanate aminohydrolase,cynt_c + 3.0 h_c + hco3_c <-> 2.0 co2_c + nh4_c,4.2.1.104
CYSTL,Cystathionine b-lyase,cyst__L_c + h2o_c <-> hcys__L_c + nh4_c + pyr_c,4.4.1.8
CYSTRS,Cysteinyl-tRNA synthetase,atp_c + cys__L_c + trnacys_c <-> amp_c + cystrna_c + ppi_c,6.1.1.15; 6.1.1.16
CYSabc2pp,L-cysteine export via ABC system (cytoplasm to periplasm),atp_c + cys__L_c + h2o_c <-> adp_c + h_c + pi_c + cys__L_p,3.6.3.21
CYTD,Cytidine deaminase,cytd_c + h_c + h2o_c <-> nh4_c + uri_c,3.5.4.5
DAGK160,Diacylglycerol kinase (n-C16:0),12dgr160_c + atp_c <-> adp_c + h_c + pa160_c,2.7.1.107
DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c <-> co2_c + lys__L_c,4.1.1.20
DASYN140,CDP-diacylglycerol synthetase (n-C14:0),ctp_c + h_c + pa140_c <-> cdpdtdecg_c + ppi_c,2.7.7.41
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),ctp_c + h_c + pa161_c <-> cdpdhdec9eg_c + ppi_c,2.7.7.41
DCTPD,DCTP deaminase,dctp_c + h_c + h2o_c <-> dutp_c + nh4_c,3.5.4.13
DCYTD,Deoxycytidine deaminase,dcyt_c + h_c + h2o_c <-> duri_c + nh4_c,3.5.4.5
DDGLK,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c <-> 2ddg6p_c + adp_c + h_c,2.7.1.178; 2.7.1.45
DGK1,Deoxyguanylate kinase (dGMP:ATP),atp_c + dgmp_c <-> adp_c + dgdp_c,2.7.4.12; 2.7.4.13; 2.7.4.8
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",23dhacoa_c + h2o_c <-> 3hadpcoa_c,4.2.1.17
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c <-> 3mob_c + h2o_c,4.2.1.9
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",23ddhb_c + nad_c <-> 23dhb_c + h_c + nadh_c,1.3.1.28
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",cenchddd_c + nad_c <-> dhcinnm_c + h_c + nadh_c,1.3.1.87
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",dhcinnm_c + o2_c <-> h_c + hkntd_c,1.13.11.16
DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <-> nadp_c + thf_c,1.5.1.3
DHFS,Dihydrofolate synthase,atp_c + dhpt_c + glu__L_c <-> adp_c + dhf_c + h_c + pi_c,6.3.2.12; 6.3.2.17
DHNAOT4,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",dhna_c + h_c + octdp_c <-> 2dmmql8_c + co2_c + ppi_c,2.5.1.74
DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),25drapp_c + h_c + h2o_c <-> 5apru_c + nh4_c,3.5.4.26
DHPTDNR,Dihydropteridine reductase,dhptdn_c + 3.0 h_c + nadph_c <-> nadp_c + thptdn_c,1.5.1.34
DHPTPE,Dihydroneopterin triphosphate 2'-epimerase,ahdt_c <-> dhmptp_c,5.1.99.
DHQS,3-dehydroquinate synthase,2dda7p_c <-> 3dhq_c + pi_c,4.2.3.4
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",25dkglcn_c + h_c + nadph_c <-> 5dglcn_c + nadp_c,1.1.1; 1.1.1.215
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c <-> grdp_c + ppi_c,2.5.1.1
DPR,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c <-> nadp_c + pant__R_c,1.1.1.169
DTMPK,DTMP kinase,atp_c + dtmp_c <-> adp_c + dtdp_c,2.7.4.12; 2.7.4.13; 2.7.4.9
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),atp_c + duri_c <-> adp_c + dump_c + h_c,2.7.1.145; 2.7.1.21
DUTPDP,DUTP diphosphatase,dutp_c + h2o_c <-> dump_c + h_c + ppi_c,3.6.1.-; 3.6.1.23; 3.6.1.9
DXPRIi,1-deoxy-D-xylulose reductoisomerase,dxyl5p_c + h_c + nadph_c <-> 2me4p_c + nadp_c,1.1.1.267
E4PD,Erythrose 4-phosphate dehydrogenase,e4p_c + h2o_c + nad_c <-> 4per_c + 2.0 h_c + nadh_c,1.2.1.72
EAR100x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),h_c + nadh_c + tdec2eACP_c <-> dcaACP_c + nad_c,2.3.1.-
EAR100y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),h_c + nadph_c + tdec2eACP_c <-> dcaACP_c + nadp_c,2.3.1.86
EAR120y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),h_c + nadph_c + tddec2eACP_c <-> ddcaACP_c + nadp_c,2.3.1.86
EAR140y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),h_c + nadph_c + tmrs2eACP_c <-> myrsACP_c + nadp_c,2.3.1.86
EAR141x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),h_c + nadh_c + t3c7mrseACP_c <-> nad_c + tdeACP_c,1.3.1.9
EAR161x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1),h_c + nadh_c + t3c9palmeACP_c <-> hdeACP_c + nad_c,1.3.1.9
EAR161y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),h_c + nadph_c + t3c9palmeACP_c <-> hdeACP_c + nadp_c,1.3.1.10
EAR180x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),h_c + nadh_c + toctd2eACP_c <-> nad_c + ocdcaACP_c,1.3.1.9
EAR180y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),h_c + nadph_c + toctd2eACP_c <-> nadp_c + ocdcaACP_c,1.3.1.10
EAR181x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),h_c + nadh_c + t3c11vaceACP_c <-> nad_c + octeACP_c,1.3.1.9
EAR181y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),h_c + nadph_c + t3c11vaceACP_c <-> nadp_c + octeACP_c,1.3.1.10
EAR40y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),but2eACP_c + h_c + nadph_c <-> butACP_c + nadp_c,2.3.1.86
EAR60y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),h_c + nadph_c + thex2eACP_c <-> hexACP_c + nadp_c,2.3.1.86
EAR80y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0),h_c + nadph_c + toct2eACP_c <-> nadp_c + ocACP_c,2.3.1.86
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),3hbcoa_c <-> b2coa_c + h2o_c,4.2.1.150; 4.2.1.17; 4.2.1.55
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),3hhcoa_c <-> h2o_c + hx2coa_c,4.2.1.17; 4.2.1.74
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),3hdcoa_c <-> dc2coa_c + h2o_c,4.2.1.17; 4.2.1.74
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),3htdcoa_c <-> h2o_c + td2coa_c,4.2.1.17; 4.2.1.74
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),3hodcoa_c <-> h2o_c + od2coa_c,4.2.1.134; 4.2.1.17
EDTXS1,Endotoxin Synthesis (lauroyl transferase),ddcaACP_c + kdo2lipid4_c <-> ACP_c + kdo2lipid4L_c,2.3.1.241
ENTERES,Enterochelin Esterase,enter_c + 3.0 h2o_c <-> 3.0 23dhbzs_c + 3.0 h_c,3.1.1
EPMEACPR,Enoylpimeloyl-[ACP] methyl ester reductase,epmeACP_c + h_c + nadph_c <-> nadp_c + pmeACP_c,1.3.1.10
ETHAAL,Ethanolamine ammonia-lyase,etha_c <-> acald_c + nh4_c,4.3.1.7
F6PA,Fructose 6-phosphate aldolase,f6p_c <-> dha_c + g3p_c,4.1.2
FA100ACPHi,Fatty-acyl-ACP hydrolase,dcaACP_c + h2o_c <-> ACP_c + dca_c + h_c,3.1.2.21
FA140ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + myrsACP_c <-> ACP_c + h_c + ttdca_c,3.1.2.14
FA141ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + tdeACP_c <-> ACP_c + h_c + ttdcea_c,3.1.2.14
FA160ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + palmACP_c <-> ACP_c + h_c + hdca_c,3.1.2.14
FA161ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + hdeACP_c <-> ACP_c + h_c + hdcea_c,3.1.2.14
