"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R01298"	"C00156[c] + C00007[c] + C00005[c] + C00080[c] <=> C00230[c] + C00006[c] + C00001[c]"	"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)"	"4-Hydroxybenzoate + Oxygen + NADPH + H+ <=> 3,4-Dihydroxybenzoate + NADP+ + H2O"
"R01011"	"C00002[c] + C00184[c] <=> C00008[c] + C00111[c]"	"ATP:glycerone phosphotransferase"	"ATP + Glycerone <=> ADP + Glycerone phosphate"
"R12061"	"C21880[c] <=> C21861[c] + C21878[c]"	"X"	"[Protein]-S-[5-carboxy-1-(5-O-phosphono-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl]-L-cysteine <=> [Protein]-dehydroalanine + Pyridinium-3-carboxy-5-thiocarboxylic acid mononucleotide"
"R01786"	"C00002[c] + C00267[c] <=> C00008[c] + C00668[c]"	"ATP:alpha-D-glucose 6-phosphotransferase"	"ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate"
"R10577"	"C01595[c] + C00007[c] <=> C20703[c]"	"linoleate:oxygen (10S)-oxidoreductase"	"Linoleate + Oxygen <=> (8E,10S,12Z)-10-Hydroperoxyoctadeca-8,12-dienoate"
"R12694"	"C03227[c] + C00048[c] <=> C05645[c] + C00037[c]"	"X"	"3-Hydroxy-L-kynurenine + Glyoxylate <=> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + Glycine"
"R04325"	"C00234[c] + C03838[c] <=> C00101[c] + C04376[c]"	"10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase"	"10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide"
"R07783"	"C03925[c] <=> C16247[c]"	"X"	"3,5-Dibromo-4-hydroxybenzoate <=> 2,6-Dibromophenol"
"R04031"	"C02730[c] + C00001[c] <=> C05817[c]"	"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate hydrolyase (2-succinylbenzoate-forming)"	"2-Succinylbenzoate + H2O <=> (1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate"
"R04046"	"C02778[c] + C00003[c] + C00001[c] <=> C03954[c] + C00004[c] + C00080[c]"	"NADH:N-hydroxy-2-acetamidofluorene N-oxidoreductase"	"2-Acetamidofluorene + NAD+ + H2O <=> N-Hydroxy-2-acetamidofluorene + NADH + H+"
"R09999"	"C00543[c] + C03576[c] <=> C03920[c] + C00218[c]"	"dimethylamine:coenzyme M methyltransferase"	"Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine"
"R09527"	"C00024[c] + C00083[c] <=> C00332[c] + C00010[c] + C00011[c]"	"acetyl-CoA:malonyl-CoA C-acetyltransferase (decarboxylating)"	"Acetyl-CoA + Malonyl-CoA <=> Acetoacetyl-CoA + CoA + CO2"
"R05668"	"C00002[c] + C00003[c] <=> C07024[c] + C00004[c] + C00080[c]"	"X"	"ATP + NAD+ <=> 3'-Keto-3'-deoxy-ATP + NADH + H+"
"R08702"	"C17323[c] + C00007[c] + C00001[c] <=> C11478[c] + C00048[c] + C00027[c]"	"tRNA containing 5-carboxymethylaminomethyl-2-thiouridine:oxygen oxidoreductase"	"tRNA containing 5-carboxymethylaminomethyl-2-thiouridine + Oxygen + H2O <=> tRNA containing 5-(aminomethyl)-2-thiouridine + Glyoxylate + Hydrogen peroxide"
"R03373"	"C22038[c] + C00003[c] <=> C04045[c] + C00004[c] + C00080[c]"	"4-hydroxyphenyllactate:NAD+ oxidoreductase"	"(R)-3-(3,4-Dihydroxyphenyl)lactate + NAD+ <=> 3-(3,4-Dihydroxyphenyl)pyruvate + NADH + H+"
"R00216"	"C00149[c] + C00006[c] <=> C00022[c] + C00011[c] + C00005[c] + C00080[c]"	"(S)-malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)"	"(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+"
"R12436"	"C00078[c] + C00135[c] <=> C22162[c]"	"X"	"L-Tryptophan + L-Histidine <=> Histidyltryptophyldiketopiperazine"
"R05715"	"2 C06717[c] + C00003[c] <=> C11502[c] + C00004[c] + C00080[c]"	"mycothiol:NAD+ oxidoreductase"	"2 Mycothiol + NAD+ <=> Mycothione + NADH + H+"
"R07689"	"C16206[c] <=> C16207[c] + 2 C00080[c]"	"X"	"9,10-Dihydroxyanthracene <=> Anthraquinone + 2 H+"
"R09248"	"C00448[c] + 5 C00129[c] <=> C04146[c] + 5 C00013[c]"	"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 5 isopentenyl units)"	"trans,trans-Farnesyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Octaprenyl diphosphate + 5 Diphosphate"
"R11821"	"C21658[c] <=> C00353[c] + C00001[c]"	"geranylgeranyl-diphosphate hydratase (peregrinol-diphosphate-forming);"	"Peregrinol diphosphate <=> Geranylgeranyl diphosphate + H2O"
"R00615"	"C00068[c] + C00001[c] <=> C01081[c] + C00009[c]"	"thiamin diphosphate phosphohydrolase"	"Thiamin diphosphate + H2O <=> Thiamin monophosphate + Orthophosphate"
"R09578"	"C00079[c] + 2 C00007[c] + 2 C03024[c] <=> C19714[c] + 2 C03161[c] + C00011[c] + 3 C00001[c]"	"L-phenylalanine,NADPH:oxygen oxidoreductase (N-hydroxylating)"	"L-Phenylalanine + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> (E)-Phenylacetaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O"
"R00739"	"C00082[c] <=> C04368[c]"	"L-tyrosine 2,3-aminomutase"	"L-Tyrosine <=> 3-Amino-3-(4-hydroxyphenyl)propanoate"
"R08911"	"C17586[c] <=> C17585[c]"	"X"	"Butirosin B <=> Butirosin A"
"R08295"	"C16561[c] + C00001[c] <=> C11004[c] + C11735[c]"	"monoethylglycinexylidide amidohydrolase"	"Monoethylglycinexylidide + H2O <=> 2,6-Dimethylaniline + N-Ethylglycine"
"R03255"	"C03847[c] + C00001[c] <=> C00069[c] + C01113[c]"	"6-phospho-beta-D-galactoside 6-phosphogalactohydrolase"	"6-Phospho-beta-D-galactoside + H2O <=> Alcohol + D-Galactose 6-phosphate"
"R00651"	"C01077[c] + C00409[c] <=> C00073[c] + C00033[c]"	"O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase;"	"O-Acetyl-L-homoserine + Methanethiol <=> L-Methionine + Acetate"
"R00964"	"C00002[c] + C00299[c] <=> C00008[c] + C00105[c]"	"ATP:uridine 5'-phosphotransferase"	"ATP + Uridine <=> ADP + UMP"
"R02163"	"C00390[c] + C00003[c] <=> C00399[c] + C00004[c] + C00080[c]"	"NADH:ubiquinone oxidoreductase"	"Ubiquinol + NAD+ <=> Ubiquinone + NADH + H+"
"R08195"	"C00820[c] <=> C00037[c] + C00084[c]"	"D-threonine acetaldehyde-lyase (glycine-forming)"	"D-Threonine <=> Glycine + Acetaldehyde"
"R03363"	"C04549[c] + C00001[c] <=> C01194[c] + C00009[c]"	"1-phosphatidyl-1D-myo-inositol 3-phosphate 3-phosphohydrolase"	"1-Phosphatidyl-1D-myo-inositol 3-phosphate + H2O <=> 1-Phosphatidyl-D-myo-inositol + Orthophosphate"
"R09845"	"C20120[c] + C00001[c] <=> C04506[c] + C00012[c]"	"CAAX protease"	"S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide"
"R04954"	"C05747[c] <=> C05748[c] + C00001[c]"	"(3R)-3-hydroxyhexanoyl-[acyl-carrier-protein] hydro-lyase"	"(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein] <=> trans-Hex-2-enoyl-[acp] + H2O"
"R11073"	"C04874[c] <=> C21008[c]"	"7,8-dihydroneopterin 2'-epimerase"	"7,8-Dihydroneopterin <=> 7,8-Dihydromonapterin"
"R11639"	"C20312[c] <=> C21525[c] + C00001[c]"	"X"	"(Z)-2-Methylbutanal oxime <=> 2-Methylbutanenitrile + H2O"
"R03247"	"C01424[c] <=> C01108[c] + C00011[c]"	"gallate carboxy-lyase"	"Gallate <=> 1,2,3-Trihydroxybenzene + CO2"
"R04928"	"C00002[c] + C05686[c] <=> C00008[c] + C05696[c]"	"ATP:adenylylsulfate 3'-phosphotransferase"	"ATP + Adenylylselenate <=> ADP + 3'-Phosphoadenylylselenate"
"R04967"	"C05761[c] + C00006[c] <=> C05760[c] + C00005[c] + C00080[c]"	"tetradecanoyl-[acp]:NADP+ trans-2-oxidoreductase"	"Tetradecanoyl-[acp] + NADP+ <=> trans-Tetradec-2-enoyl-[acp] + NADPH + H+"
"R06016"	"G10613 + G00015 <=> G10619 + G00179"	"X"	"G10613 + G00015 <=> G10619 + G00179"
"R02047"	"C01188[c] + C00003[c] <=> C00349[c] + C00004[c] + C00080[c]"	"3-hydroxy-2-methylpropanoate:NAD+ oxidoreductase"	"3-Hydroxy-2-methylpropanoate + NAD+ <=> 2-Methyl-3-oxopropanoate + NADH + H+"
"R02247"	"C00418[c] + C00006[c] <=> C00772[c] + C00005[c] + C00080[c]"	"(R)-mevalonate:NADP+ oxidoreductase"	"(R)-Mevalonate + NADP+ <=> Mevaldate + NADPH + H+"
"R00947"	"C00103[c] + C00001[c] <=> C00267[c] + C00009[c]"	"alpha-D-glucose-1-phosphate phosphohydrolase"	"D-Glucose 1-phosphate + H2O <=> alpha-D-Glucose + Orthophosphate"
"R01957"	"C00328[c] + C00048[c] <=> C01252[c] + C00037[c]"	"L-kynurenine:glyoxylote aminotransferase (cyclizing)"	"L-Kynurenine + Glyoxylate <=> 4-(2-Aminophenyl)-2,4-dioxobutanoate + Glycine"
"R09896"	"C00448[c] + C00001[c] <=> C20181[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, avermitilol-forming)"	"trans,trans-Farnesyl diphosphate + H2O <=> Avermitilol + Diphosphate"
"R08979"	"C18066[c] + C00001[c] <=> C18067[c]"	"7-isopropyl-4-methyloxepan-2-one lactonohydrolase"	"7-Isopropyl-4-methyloxepan-2-one + H2O <=> 6-Hydroxy-3,7-dimethyloctanoate"
"R09577"	"C19711[c] + C03024[c] + C00007[c] <=> C09737[c] + C03161[c] + 2 C00001[c]"	"solavetivol,[reduced NADPH---hemoprotein reductase]:oxygen 2alpha-oxidoreductase"	"Solavetivol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Solavetivone + [Oxidized NADPH---hemoprotein reductase] + 2 H2O"
"R07933"	"C16162[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C16163[c] + 2 C00996[c] + 2 C00001[c]"	"alpha-linolenoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (6,7 cis-dehydrogenating)"	"(9Z,12Z,15Z)-Octadecatrienoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA + 2 Ferricytochrome b5 + 2 H2O"
"R09680"	"C19809[c] + C00001[c] <=> C00408[c] + C00014[c]"	"(S)-piperidine-2-carboxamide amidohydrolase"	"(S)-Piperidine-2-carboxamide + H2O <=> L-Pipecolate + Ammonia"
"R01349"	"C00019[c] + C00162[c] <=> C00021[c] + C03395[c]"	"S-adenosyl-L-methionine:fatty-acid O-methyltransferase"	"S-Adenosyl-L-methionine + Fatty acid <=> S-Adenosyl-L-homocysteine + Fatty acid methyl ester"
"R01088"	"C00123[c] + C00001[c] + C00003[c] <=> C00233[c] + C00014[c] + C00004[c] + C00080[c]"	"L-leucine:NAD+ oxidoreductase (deaminating)"	"L-Leucine + H2O + NAD+ <=> 4-Methyl-2-oxopentanoate + Ammonia + NADH + H+"
"R08993"	"C00353[c] + C00001[c] <=> C09094[c] + C00013[c]"	"geranyl-diphosphate diphosphohydrolase"	"Geranylgeranyl diphosphate + H2O <=> Geranylgeraniol + Diphosphate"
"R05825"	"C11632[c] + C00001[c] <=> C11633[c] + C00011[c] + C00132[c]"	"polyneuridine aldehyde hydrolase (decarboxylating)"	"Polyneuridine aldehyde + H2O <=> 16-Epivellosimine + CO2 + Methanol"
"R10758"	"C00989[c] + C00002[c] + C00010[c] <=> C11062[c] + C00008[c] + C00009[c]"	"4-hydroxybutanoate:CoA ligase (ADP-forming)"	"4-Hydroxybutanoic acid + ATP + CoA <=> 4-Hydroxybutyryl-CoA + ADP + Orthophosphate"
"R10356"	"C20587[c] + C00005[c] + C00080[c] + C00007[c] <=> C20534[c] + C00006[c] + C00001[c] + C00058[c]"	"paspaline-B,NADPH:oxygen oxidoreductase"	"Paspaline B + NADPH + H+ + Oxygen <=> 12-Demethyl-11,12-dehydropaspaline + NADP+ + H2O + Formate"
"R12426"	"C02051[c] + C22158[c] <=> C22157[c] + C15972[c]"	"[glycine cleavage system H]-N6-lipoyl-L-lysine:[lipoyl-carrier protein]-L-lysine lipoyltransferase"	"Lipoylprotein + Lipoyl-carrier protein E2 <=> Glycine cleavage system H + Enzyme N6-(lipoyl)lysine"
"R04146"	"C04018[c] + C00001[c] <=> C03106[c] + C00033[c]"	"N-acetyl-D-galactosaminoglycan acetylhydrolase"	"N-Acetyl-D-galactosaminoglycan + H2O <=> D-Galactosaminoglycan + Acetate"
"R00904"	"C05665[c] + C00003[c] + C00001[c] <=> C00099[c] + C00004[c] + C00080[c]"	"3-aminopropanal:NAD+ oxidoreductase"	"3-Aminopropanal + NAD+ + H2O <=> beta-Alanine + NADH + H+"
"R03365"	"C01197[c] + C00007[c] <=> C04366[c]"	"3,4-dihydroxy-trans-cinnamate:oxygen 3,4-oxidoreductase (decyclizing)"	"Caffeate + Oxygen <=> 3-(2-Carboxyethenyl)-cis,cis-muconate"
"R13249"	"C00065[c] <=> C18618[c]"	"X"	"L-Serine <=> Aminomalonyl-[acp]"
"R09936"	"C00106[c] + C01847[c] + C00007[c] <=> C20231[c] + C00061[c]"	"uracil,FMNH2:oxygen oxidoreductase (uracil hydroxylating, ring-opening)"	"Uracil + Reduced FMN + Oxygen <=> (Z)-3-Ureidoacrylate peracid + FMN"
"R04145"	"C00019[c] + C03105[c] <=> C00021[c] + C04061[c]"	"S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase"	"S-Adenosyl-L-methionine + Cytochrome c L-lysine <=> S-Adenosyl-L-homocysteine + Cytochrome c N6-methyl-L-lysine"
"R01450"	"C00186[c] <=> C00256[c]"	"lactate racemase"	"(S)-Lactate <=> (R)-Lactate"
"R11426"	"C21379[c] + 2 C00006[c] <=> C21381[c] + 2 C00005[c] + C00080[c]"	"(2S)-flavan-3-ol:NADP+ oxidoreductase"	"(2S,3R)-Flavan-3-ol + 2 NADP+ <=> Anthocyanidin with a 3-hydroxy group + 2 NADPH + H+"
"R12692"	"C00328[c] + C00048[c] <=> C01717[c] + C00037[c] + C00001[c]"	"L-kynurenine:glyoxylate aminotransferase (cyclizing)"	"L-Kynurenine + Glyoxylate <=> 4-Hydroxy-2-quinolinecarboxylic acid + Glycine + H2O"
"R01867"	"C00337[c] + C00122[c] <=> C00295[c] + C00042[c]"	"(S)-dihydroorotate:fumarate oxidoreductase"	"(S)-Dihydroorotate + Fumarate <=> Orotate + Succinate"
"R02760"	"C00605[c] + C00681[c] <=> C00010[c] + C00416[c]"	"2,3-dehydroacyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase"	"2,3-Dehydroacyl-CoA + 1-Acyl-sn-glycerol 3-phosphate <=> CoA + Phosphatidate"
"R11144"	"C17658[c] + C00003[c] <=> C03070[c] + C00004[c] + C00080[c]"	"isolithocholate:NAD+ 3-oxidoreductase"	"Isolithocholate + NAD+ <=> 3-Oxo-5beta-cholanate + NADH + H+"
"R08745"	"C05337[c] + C00245[c] <=> C05465[c] + C00010[c]"	"3alpha,7alpha-dihydroxy-5beta-cholanoyl-CoA:taurine N-choloyltransferase;"	"Chenodeoxycholoyl-CoA + Taurine <=> Taurochenodeoxycholate + CoA"
"R06239"	"G10506 + C00001[c] <=> G02614 + G10506"	"X"	"G10506 + H2O <=> G02614 + G10506"
"R10316"	"C19943[c] + 3 C00007[c] + 3 C03024[c] <=> C02283[c] + 3 C03161[c] + 4 C00001[c]"	"11-oxo-beta-amyrin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (30-hydroxylating)"	"11-Oxo-beta-amyrin + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Glycyrrhetinate + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O"
"R08806"	"C00406[c] + C00083[c] <=> C17741[c] + C00010[c] + C00011[c]"	"feruloyl-CoA:malonyl-CoA C-feruloyltransferase (decarboxylating)"	"Feruloyl-CoA + Malonyl-CoA <=> Feruloyl-diketide-CoA + CoA + CO2"
"R08977"	"C00187[c] + C00053[c] <=> C18043[c] + C00054[c]"	"3'-phosphoadenylyl-sulfate:cholesterol sulfotransferase"	"Cholesterol + 3'-Phosphoadenylyl sulfate <=> Cholesterol sulfate + Adenosine 3',5'-bisphosphate"
"R12430"	"C05752[c] + C00010[c] <=> C01944[c] + C00229[c]"	"octanoyl-[acp]:CoA S-octanoyltransferase"	"Octanoyl-[acp] + CoA <=> Octanoyl-CoA + Acyl-carrier protein"
"R01378"	"C00166[c] <=> C02763[c]"	"phenylpyruvate keto-enol-isomerase"	"Phenylpyruvate <=> 2-Hydroxy-3-phenylpropenoate"
"R12501"	"C00954[c] + C00026[c] + C00007[c] <=> C22202[c] + C00042[c] + C00011[c]"	"X"	"Indole-3-acetate + 2-Oxoglutarate + Oxygen <=> 2-Oxoindole-3-acetate + Succinate + CO2"
"R08612"	"C02492[c] + C00001[c] <=> C17207[c] + C02492[c]"	"4-beta-D-mannan mannanohydrolase"	"1,4-beta-D-Mannan + H2O <=> 1,4-beta-D-Mannooligosaccharide + 1,4-beta-D-Mannan"
"R11122"	"C21126[c] + C18092[c] <=> C21127[c] + C00363[c]"	"X"	"K-252c + dTDP-L-ristosamine <=> Holyrine A + dTDP"
"R09112"	"C18211[c] <=> C18221[c]"	"X"	"Isopimara-7,15-diene <=> Isopimaradienol"
"R06925"	"C14097[c] <=> C00805[c] + C00011[c]"	"X"	"2-Hydroxyisophthalic acid <=> Salicylate + CO2"
"R07849"	"C16279[c] + 2 C00028[c] <=> C16280[c] + 2 C00030[c]"	"thiothece-474:acceptor oxidoreductase/methyltranferase (chi-ring forming)"	"Thiothece-474 + 2 Acceptor <=> Okenone + 2 Reduced acceptor"
"R12850"	"C10826[c] <=> C10827[c]"	"X"	"Tomatidine <=> Tomatine"
"R10628"	"C11994[c] + 4 C00138[c] + 4 C00080[c] + 2 C00007[c] <=> C20741[c] + 4 C00139[c] + 2 C00001[c]"	"10-deoxymethymycin,reduced ferredoxin:oxygen oxidoreductase (novamethymycin-forming)"	"10-Deoxymethymycin + 4 Reduced ferredoxin + 4 H+ + 2 Oxygen <=> Novamethymycin + 4 Oxidized ferredoxin + 2 H2O"
"R02616"	"C00024[c] + C00602[c] <=> C00010[c] + C03773[c]"	"acyl-CoA:beta-D-galactoside 6-acetyltransferase"	"Acetyl-CoA + beta-D-Galactoside <=> CoA + 6-Acetyl-beta-D-galactoside"
"R12957"	"C00078[c] <=> C21601[c]"	"X"	"L-Tryptophan <=> 3-(Aminomethyl)indole"
"R02535"	"C03758[c] + 2 C00072[c] + C00007[c] <=> C00547[c] + 2 C01041[c] + C00001[c]"	"dopamine,ascorbate:oxygen oxidoreductase (beta-hydroxylating)"	"Dopamine + 2 Ascorbate + Oxygen <=> L-Noradrenaline + 2 Monodehydroascorbate + H2O"
"R08926"	"C01019[c] + C00003[c] <=> C18028[c] + C00004[c] + C00080[c]"	"L-fucose:NAD+ 1-oxidoreductase"	"L-Fucose + NAD+ <=> L-Fucono-1,5-lactone + NADH + H+"
"R12761"	"C05412[c] <=> C00684[c] + C00001[c]"	"L-lyxonate hydro-lyase"	"L-Lyxonate <=> 2-Dehydro-3-deoxy-L-arabinonate + H2O"
"R01302"	"C00156[c] + C00022[c] <=> C00251[c]"	"chorismate pyruvate-lyase (4-hydroxybenzoate-forming)"	"4-Hydroxybenzoate + Pyruvate <=> Chorismate"
"R07511"	"C15857[c] + 2 C15602[c] <=> C15858[c] + 2 C15603[c]"	"9,9'-dicis-zeta-carotene:quinone oxidoreductase"	"9,9'-dicis-zeta-Carotene + 2 Quinone <=> 7,9,7',9'-tetracis-Lycopene + 2 Hydroquinone"
