bigg_id,name,reaction_string,kegg_reactions
ASPTA,Aspartate transaminase,akg_c + asp__L_c <-> glu__L_c + oaa_c,R00355
ASPTRS,Aspartyl-tRNA synthetase,asp__L_c + atp_c + trnaasp_c <-> amp_c + asptrna_c + ppi_c,R05577
AST,Arginine succinyltransferase,arg__L_c + succoa_c <-> coa_c + h_c + sucarg_c,R00832
ATHRDHr,L-allo-threonine dehydrogenase,athr__L_c + nadp_c <-> 2aobut_c + h_c + nadph_c,R10851
ATPHs,ATP amine hydrolysis (spontaneous),atp_c + h_c + h2o_c <-> itp_c + nh4_c,R00088
ATPM,ATP maintenance requirement,atp_c + h2o_c <-> adp_c + h_c + pi_c,R00086
BETALDHx,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c <-> glyb_c + 2.0 h_c + nadh_c,R02565
CBMKr,Carbamate kinase,atp_c + co2_c + nh4_c <-> adp_c + cbp_c + 2.0 h_c,R00150
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c <-> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,R00575
CCGS,7-cyano-7-carbaguanine synthase,atp_c + cdg_c + nh4_c <-> adp_c + h_c + h2o_c + pi_c + preq0_c,R09978
CDGR,7-cyano-7-deazaguanine reductase,3.0 h_c + 2.0 nadph_c + preq0_c <-> 2.0 nadp_c + preq1_c,R07605
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c <-> 2p4c2me_c + adp_c + h_c,R05634
CHORM,Chorismate mutase,chor_c <-> pphn_c,R01715
CHRPL,Chorismate pyruvate lyase,chor_c <-> 4hbz_c + pyr_c,R01302
CINNDO,Cinnamate dioxygenase,cinnm_c + h_c + nadh_c + o2_c <-> cenchddd_c + nad_c,R06783
CITL,Citrate lyase,cit_c <-> ac_c + oaa_c,R00362
CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c + crn_c <-> crncoa_c + gbbtn_c,R10644
CS,Citrate synthase,accoa_c + h2o_c + oaa_c <-> cit_c + coa_c + h_c,R00351
CSND,Cytosine deaminase,csn_c + h_c + h2o_c <-> nh4_c + ura_c,R00974
CYANST,Cyanide sulfurtransferase,cyan_c + tsul_c <-> h_c + so3_c + tcynt_c,R01931
CYNTAH,Cyanate aminohydrolase,cynt_c + 3.0 h_c + hco3_c <-> 2.0 co2_c + nh4_c,R10079
CYSTL,Cystathionine b-lyase,cyst__L_c + h2o_c <-> hcys__L_c + nh4_c + pyr_c,R01286
CYSTRS,Cysteinyl-tRNA synthetase,atp_c + cys__L_c + trnacys_c <-> amp_c + cystrna_c + ppi_c,R03650
CYTD,Cytidine deaminase,cytd_c + h_c + h2o_c <-> nh4_c + uri_c,R01878
DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c <-> co2_c + lys__L_c,R00451
DCTPD,DCTP deaminase,dctp_c + h_c + h2o_c <-> dutp_c + nh4_c,R02325
DCYTD,Deoxycytidine deaminase,dcyt_c + h_c + h2o_c <-> duri_c + nh4_c,R02485
DDGLK,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c <-> 2ddg6p_c + adp_c + h_c,R01541
DGK1,Deoxyguanylate kinase (dGMP:ATP),atp_c + dgmp_c <-> adp_c + dgdp_c,R02090
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c <-> 3mob_c + h2o_c,R04441
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",23ddhb_c + nad_c <-> 23dhb_c + h_c + nadh_c,R01505
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",cenchddd_c + nad_c <-> dhcinnm_c + h_c + nadh_c,R06785
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",dhcinnm_c + o2_c <-> h_c + hkntd_c,R06788
DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <-> nadp_c + thf_c,R00939
DHFS,Dihydrofolate synthase,atp_c + dhpt_c + glu__L_c <-> adp_c + dhf_c + h_c + pi_c,R02237
DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),25drapp_c + h_c + h2o_c <-> 5apru_c + nh4_c,R03459
DHPTDNR,Dihydropteridine reductase,dhptdn_c + 3.0 h_c + nadph_c <-> nadp_c + thptdn_c,R07355
DHQS,3-dehydroquinate synthase,2dda7p_c <-> 3dhq_c + pi_c,R03083
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",25dkglcn_c + h_c + nadph_c <-> 5dglcn_c + nadp_c,R08879
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c <-> grdp_c + ppi_c,R01658
DPR,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c <-> nadp_c + pant__R_c,R02472
DTMPK,DTMP kinase,atp_c + dtmp_c <-> adp_c + dtdp_c,R02094
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),atp_c + duri_c <-> adp_c + dump_c + h_c,R02099
DUTPDP,DUTP diphosphatase,dutp_c + h2o_c <-> dump_c + h_c + ppi_c,R02100
DXPRIi,1-deoxy-D-xylulose reductoisomerase,dxyl5p_c + h_c + nadph_c <-> 2me4p_c + nadp_c,R05688
E4PD,Erythrose 4-phosphate dehydrogenase,e4p_c + h2o_c + nad_c <-> 4per_c + 2.0 h_c + nadh_c,R01825
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),3hbcoa_c <-> b2coa_c + h2o_c,R03026
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),3hhcoa_c <-> h2o_c + hx2coa_c,R04749
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),3hdcoa_c <-> dc2coa_c + h2o_c,R04744
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),3htdcoa_c <-> h2o_c + td2coa_c,R04740
EPMEACPR,Enoylpimeloyl-[ACP] methyl ester reductase,epmeACP_c + h_c + nadph_c <-> nadp_c + pmeACP_c,R10122
ETHAAL,Ethanolamine ammonia-lyase,etha_c <-> acald_c + nh4_c,R00749
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),h2o_c + pmtcoa_c <-> coa_c + h_c + hdca_c,R01274
FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),h2o_c + stcoa_c <-> coa_c + h_c + ocdca_c,R08174
FADRx2,FAD reductase,fad_c + h_c + nadph_c <-> fadh2_c + nadp_c,R09520
FALDH2,Formaldehyde dehydrogenase,hmgth_c + nad_c <-> Sfglutth_c + h_c + nadh_c,R06983
FBA,Fructose-bisphosphate aldolase,fdp_c <-> dhap_c + g3p_c,R01068
FCLK,L-fuculokinase,atp_c + fcl__L_c <-> adp_c + fc1p_c + h_c,R03241
FCLT,Ferrochelatase,fe2_c + ppp9_c <-> 2.0 h_c + pheme_c,R00310
FDMO2,FMNH2-dependent monooxygenase (methanesulfonate),fmnh2_c + mso3_c + o2_c <-> fald_c + fmn_c + h_c + h2o_c + so3_c,R10206
FORCT,Formyl-CoA Transferase,forcoa_c + oxa_c <-> for_c + oxalcoa_c,R07290
FTHFLi,Formate-tetrahydrofolate ligase,atp_c + for_c + thf_c <-> 10fthf_c + adp_c + pi_c,R00943
FUM,Fumarase,fum_c + h2o_c <-> mal__L_c,R01082
G1PPpp,Glucose-1-phosphatase,g1p_p + h2o_p <-> glc__D_p + pi_p,R00304
G1PTT,Glucose-1-phosphate thymidylyltransferase,dttp_c + g1p_c + h_c <-> dtdpglu_c + ppi_c,R02328
G1SAT,Glutamate-1-semialdehyde aminotransferase,glu1sa_c <-> 5aop_c,R02272
G3PT,Glycerol-3-phosphatase,glyc3p_c + h2o_c <-> glyc_c + pi_c,R00841
G6PDA,Glucosamine-6-phosphate deaminase,gam6p_c + h2o_c <-> f6p_c + nh4_c,R00765
G6PDH2r,Glucose 6-phosphate dehydrogenase,g6p_c + nadp_c <-> 6pgl_c + h_c + nadph_c,R00835
G6PP,Glucose-6-phosphate phosphatase,g6p_c + h2o_c <-> glc__D_c + pi_c,R00303
GALCTD,Galactarate dehydratase,galct__D_c <-> 5dh4dglc_c + h2o_c,R05608
GART,GAR transformylase-T,atp_c + for_c + gar_c <-> adp_c + fgam_c + h_c + pi_c,R06974
GDPMNP,GDP-mannose phyrophosphatase,gdpmann_c + h2o_c <-> gmp_c + 2.0 h_c + man1p_c,R00881
GGGABAH,Gamma-glutamyl-gamma-aminobutyric acid hydrolase,gg4abut_c + h2o_c <-> 4abut_c + glu__L_c,R07419
GHMT2r,"Glycine hydroxymethyltransferase, reversible",ser__L_c + thf_c <-> gly_c + h2o_c + mlthf_c,R00945
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,5dh4dglc_c <-> 2h3oppan_c + pyr_c,R02754
GLCRD,Glucarate dehydratase,glcr_c <-> 5dh4dglc_c + h2o_c,R02752
GLGC,Glucose-1-phosphate adenylyltransferase,atp_c + g1p_c + h_c <-> adpglc_c + ppi_c,R00948
GLNS,Glutamine synthetase,atp_c + glu__L_c + nh4_c <-> adp_c + gln__L_c + h_c + pi_c,R00253
GLUCYS,Gamma-glutamylcysteine synthetase,atp_c + cys__L_c + glu__L_c <-> adp_c + glucys_c + h_c + pi_c,R00894
GLUDC,Glutamate Decarboxylase,glu__L_c + h_c <-> 4abut_c + co2_c,R00261
GLUNpp,Glutaminase,gln__L_p + h2o_p <-> glu__L_p + nh4_p,R00256
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,gln__L_c + h2o_c + prpp_c <-> glu__L_c + ppi_c + pram_c,R01072
GLUR,Glutamate racemase,glu__D_c <-> glu__L_c,R00260
GLUSy,Glutamate synthase (NADPH),akg_c + gln__L_c + h_c + nadph_c <-> 2.0 glu__L_c + nadp_c,R00114
GLUTRS,Glutamyl-tRNA synthetase,atp_c + glu__L_c + trnaglu_c <-> amp_c + glutrna_c + ppi_c,R05578
GLXCL,Glyoxalate carboligase,2.0 glx_c + h_c <-> 2h3oppan_c + co2_c,R00013
GLYCDx,Glycerol dehydrogenase,glyc_c + nad_c <-> dha_c + h_c + nadh_c,R01034
GLYCK,Glycerate kinase,atp_c + glyc__R_c <-> 3pg_c + adp_c + h_c,R01514
GLYCK2,Glycerate kinase,atp_c + glyc__R_c <-> 2pg_c + adp_c + h_c,R08572
GLYCL,Glycine Cleavage System,gly_c + nad_c + thf_c <-> co2_c + mlthf_c + nadh_c + nh4_c,R01221
GLYCLTDx,Glycolate dehydrogenase (NAD),glx_c + h_c + nadh_c <-> glyclt_c + nad_c,R00717
GLYK,Glycerol kinase,atp_c + glyc_c <-> adp_c + glyc3p_c + h_c,R00847
GLYOX,Hydroxyacylglutathione hydrolase,h2o_c + lgt__S_c <-> gthrd_c + h_c + lac__D_c,R01736
GLYOX3,Glyoxalase III,h2o_c + mthgxl_c <-> h_c + lac__D_c,R09796
GMAND,GDP-D-mannose dehydratase,gdpmann_c <-> gdpddman_c + h2o_c,R00888
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,atp_c + gmhep1p_c + h_c <-> adphep_DD_c + ppi_c,R05644
GMPR,GMP reductase,gmp_c + 2.0 h_c + nadph_c <-> imp_c + nadp_c + nh4_c,R01134
GMPS2,GMP synthase,atp_c + gln__L_c + h2o_c + xmp_c <-> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c,R01231
GND,Phosphogluconate dehydrogenase,6pgc_c + nadp_c <-> co2_c + nadph_c + ru5p__D_c,R01528
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),g3pc_p + h2o_p <-> chol_p + glyc3p_p + h_p,R01030
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),g3pe_c + h2o_c <-> etha_c + glyc3p_c + h_c,R01470
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),g3pi_c + h2o_c <-> glyc3p_c + h_c + inost_c,R01193
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),g3pi_p + h2o_p <-> glyc3p_p + h_p + inost_p,R01193
GRTT,Geranyltranstransferase,grdp_c + ipdp_c <-> frdp_c + ppi_c,R02003
GSNK,Guanosine kinase,atp_c + gsn_c <-> adp_c + gmp_c + h_c,R01228
GSPMDA,Glutathionylspermidine amidase,gtspmd_c + h2o_c <-> gthrd_c + spmd_c,R01918
GTHOr,Glutathione oxidoreductase,gthox_c + h_c + nadph_c <-> 2.0 gthrd_c + nadp_c,R00115
GTHS,Glutathione synthetase,atp_c + glucys_c + gly_c <-> adp_c + gthrd_c + h_c + pi_c,R00497
GTPCI,GTP cyclohydrolase I,gtp_c + h2o_c <-> ahdt_c + for_c + h_c,R00424
GTPCII2,GTP cyclohydrolase II (25drapp),gtp_c + 3.0 h2o_c <-> 25drapp_c + for_c + 2.0 h_c + ppi_c,R00425
GTPDPK,GTP diphosphokinase,atp_c + gtp_c <-> amp_c + gdptp_c + h_c,R00429
GUAPRT,Guanine phosphoribosyltransferase,gua_c + prpp_c <-> gmp_c + ppi_c,R01229
GUI1,Glucuronate isomerase (D-glucuronate),glcur_c <-> fruur_c,R01482
GUI2,Glucuronate isomerase (D-galacturonate),galur_c <-> tagur_c,R01983
HACD4,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),3odcoa_c + h_c + nadh_c <-> 3hdcoa_c + nad_c,R04743
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),3oddcoa_c + h_c + nadh_c <-> 3hddcoa_c + nad_c,R04741
HACD7,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),3ohdcoa_c + h_c + nadh_c <-> 3hhdcoa_c + nad_c,R04737
HBZOPT,Hydroxybenzoate octaprenyltransferase,4hbz_c + octdp_c <-> 3ophb_c + ppi_c,R05615
HCYSMT,Homocysteine S-methyltransferase,amet_c + hcys__L_c <-> ahcys_c + h_c + met__L_c,R00650
HCYSMT2,Homocysteine Methyltransferase,hcys__L_c + mmet_c <-> h_c + 2.0 met__L_c,R11063
HEMEOS,Heme O synthase,frdp_c + h2o_c + pheme_c <-> hemeO_c + ppi_c,R07411
HEX4,Hexokinase (D-mannose:ATP),atp_c + man_c <-> adp_c + h_c + man6p_c,R01326
HISTD,Histidinol dehydrogenase,h2o_c + histd_c + 2.0 nad_c <-> 3.0 h_c + his__L_c + 2.0 nadh_c,R01158
HMBS,Hydroxymethylbilane synthase,h2o_c + 4.0 ppbng_c <-> hmbil_c + 4.0 nh4_c,R00084
HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,4h2opntn_c <-> acald_c + pyr_c,R00750
HPPPNDO,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",dhpppn_c + o2_c <-> h_c + hkndd_c,R04376
HPYRRx,Hydroxypyruvate reductase (NADH),h_c + hpyr_c + nadh_c <-> glyc__R_c + nad_c,R01388
HSK,Homoserine kinase,atp_c + hom__L_c <-> adp_c + h_c + phom_c,R01771
HSST,Homoserine O-succinyltransferase,hom__L_c + succoa_c <-> coa_c + suchms_c,R01777
HSTPT,Histidinol-phosphate transaminase,glu__L_c + imacp_c <-> akg_c + hisp_c,R03243
HYPOE,Hypothetical enyme,h2o_c + pyam5p_c <-> pi_c + pydam_c,R02494
ICHORS,Isochorismate synthase,chor_c <-> ichor_c,R01717
IDOND,L-idonate 5-dehydrogenase,5dglcn_c + h_c + nadh_c <-> idon__L_c + nad_c,R05683
IDOND2,L-indonate 5-dehydrogenase (NADP),5dglcn_c + h_c + nadph_c <-> idon__L_c + nadp_c,R05684
IG3PS,Imidazole-glycerol-3-phosphate synthase,gln__L_c + prlp_c <-> aicar_c + eig3p_c + glu__L_c + h_c,R04558
IGPDH,Imidazoleglycerol-phosphate dehydratase,eig3p_c <-> h2o_c + imacp_c,R03457
IGPS,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c <-> 3ig3p_c + co2_c + h2o_c,R03508
ILETA,Isoleucine transaminase,akg_c + ile__L_c <-> 3mop_c + glu__L_c,R02199
IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c <-> h_c + nadh_c + xmp_c,R01130
INSK,Insosine kinase,atp_c + ins_c <-> adp_c + h_c + imp_c,R01131
IPMD,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c <-> 3c4mop_c + h_c + nadh_c,R04426
IPPMIa,3-isopropylmalate dehydratase,3c2hmp_c <-> 2ippm_c + h2o_c,R04001
IPPMIb,2-isopropylmalate hydratase,2ippm_c + h2o_c <-> 3c3hmp_c,R03968
IPPS,2-isopropylmalate synthase,3mob_c + accoa_c + h2o_c <-> 3c3hmp_c + coa_c + h_c,R01213
LACZ,B-galactosidase,h2o_c + lcts_c <-> gal_c + glc__D_c,R01100; R06114
LALDO3,L-Lactaldehyde:NADP+ 1-oxidoreductase,h_c + mthgxl_c + nadph_c <-> lald__L_c + nadp_c,R02260
LCADi,Lactaldehyde dehydrogenase,h2o_c + lald__L_c + nad_c <-> 2.0 h_c + lac__L_c + nadh_c,R01446
LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c <-> akg_c + leu__L_c,R01090
LEUTRS,Leucyl-tRNA synthetase,atp_c + leu__L_c + trnaleu_c <-> amp_c + leutrna_c + ppi_c,R03657
LGTHL,Lactoylglutathione lyase,gthrd_c + mthgxl_c <-> lgt__S_c,R02530
LIPATPT,Lipoate-ATP adenylate transferase,atp_c + lipoate_c <-> lipoamp_c + ppi_c,R07770
LYSTRS,Lysyl-tRNA synthetase,atp_c + lys__L_c + trnalys_c <-> amp_c + lystrna_c + ppi_c,R03658
MACPD,Malonyl-ACP decarboxylase,h_c + malACP_c <-> acACP_c + co2_c,R09482
MALS,Malate synthase,accoa_c + glx_c + h2o_c <-> coa_c + h_c + mal__L_c,R00472
MAN1PT2,Mannose-1-phosphate guanylyltransferase (GDP),gdp_c + h_c + man1p_c <-> gdpmann_c + pi_c,R00883
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,h2o_c + man6pglyc_c <-> glyc__R_c + man6p_c,R09645
ME1,Malic enzyme (NAD),mal__L_c + nad_c <-> co2_c + nadh_c + pyr_c,R00214
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c <-> 2mecdp_c + cmp_c,R05637
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c + h_c <-> 4c2me_c + ppi_c,R05633
METAT,Methionine adenosyltransferase,atp_c + h2o_c + met__L_c <-> amet_c + pi_c + ppi_c,R00177
METTRS,Methionyl-tRNA synthetase,atp_c + met__L_c + trnamet_c <-> amp_c + mettrna_c + ppi_c,R03659
MGSA,Methylglyoxal synthase,dhap_c <-> mthgxl_c + pi_c,R01016
MMCD,Methylmalonyl-CoA decarboxylase,h_c + mmcoa__S_c <-> co2_c + ppcoa_c,R00923
MOAT,3-deoxy-D-manno-octulosonic acid transferase,ckdo_c + lipidA_c <-> cmp_c + h_c + kdolipid4_c,R04658
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob_c + h2o_c + mlthf_c <-> 2dhp_c + thf_c,R01226
MOX,Malate oxidase,mal__L_c + o2_c <-> h2o2_c + oaa_c,R00360
MSAR,Malonic semialdehyde reductase,h_c + msa_c + nadph_c <-> 3hpp_c + nadp_c,R09289
MTAN,Methylthioadenosine nucleosidase,5mta_c + h2o_c <-> 5mtr_c + ade_c,R01401
MTHFR2,"5,10-methylenetetrahydrofolate reductase (NADH)",2.0 h_c + mlthf_c + nadh_c <-> 5mthf_c + nad_c,R07168
NADK,NAD kinase,atp_c + nad_c <-> adp_c + h_c + nadp_c,R00104
NADTRHD,NAD transhydrogenase,nad_c + nadph_c <-> nadh_c + nadp_c,R00112
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c <-> adp_c + gtp_c,R00330
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c <-> adp_c + utp_c,R00156
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),atp_c + cdp_c <-> adp_c + ctp_c,R00570
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),atp_c + dgdp_c <-> adp_c + dgtp_c,R01857
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c <-> adp_c + dutp_c,R02331
NMNDA,Nicotinamide-nucleotide amidase,h2o_c + nmn_c <-> nh4_c + nicrnt_c,R02322
NNAM,Nicotinamidase,h2o_c + ncam_c <-> nac_c + nh4_c,R01268
NNATr,Nicotinate-nucleotide adenylyltransferase,atp_c + h_c + nicrnt_c <-> dnad_c + ppi_c,R03005
NTD10,5'-nucleotidase (XMP),h2o_c + xmp_c <-> pi_c + xtsn_c,R02719
